Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
UNILEVER,USA,Lost Time Injury Frequency Rate,2014,0.00%,0.00%,0.00%,2.29%,0.00%,0.00%,0.00%,0.00%,2.25%,4.32%,0.00%,0.00%
FORD MOTOR,Brazil,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
HEWLETT PACKARD,Brazil,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PEPSICO,Brazil,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.31%,,
PROCTER & GAMBLE,Brazil,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
UNILEVER,Brazil,Lost Time Injury Frequency Rate,2015,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.00%,0.00%,,
FORD MOTOR,China,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,3.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
HEWLETT PACKARD,China,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
UNILEVER,China,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PEPSICO,China,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PROCTER & GAMBLE,China,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PROCTER & GAMBLE,Spain,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
UNILEVER,Spain,Lost Time Injury Frequency Rate,2015,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.00%,0.00%,,
FORD MOTOR,Spain,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
HEWLETT PACKARD,Spain,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PEPSICO,Spain,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.31%,,
FORD MOTOR,UK,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.31%,,
HEWLETT PACKARD,UK,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PEPSICO,UK,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
PROCTER & GAMBLE,UK,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
UNILEVER,UK,Lost Time Injury Frequency Rate,2015,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.00%,0.00%,,
FORD MOTOR,USA,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.13%,,
HEWLETT PACKARD,USA,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.00%,0.00%,0.00%,4.85%,0.00%,0.00%,0.00%,0.00%,,
PEPSICO,USA,Lost Time Injury Frequency Rate,2015,79.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.62%,0.00%,,
PROCTER & GAMBLE,USA,Lost Time Injury Frequency Rate,2015,0.00%,0.00%,0.65%,0.70%,0.65%,0.00%,0.00%,1.44%,0.70%,0.64%,,
UNILEVER,USA,Lost Time Injury Frequency Rate,2015,0.00%,2.59%,2.19%,0.00%,0.00%,2.31%,2.26%,0.00%,0.00%,0.00%,,
