Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HEWLETT PACKARD - SPAIN - 2015,"7,944.60","3,030.10","3,030.10","8,600.00","7,628.20","8,265.80","6,132.90","8,296.40","8,961.10","9,101.30", -   , -   
HEWLETT PACKARD - UK - 2013,"764,602.80","770,984.20","609,331.90","606,195.40","570,096.90","569,093.00","430,237.30","442,305.90","646,631.60","719,542.00","720,853.80","850,320.10"
HEWLETT PACKARD - UK - 2014,"695,975.50","651,409.70","760,967.20","774,541.80","886,892.50","890,649.30","795,692.00","668,376.00","967,234.50","1,081,150.00","824,667.80","728,872.20"
HEWLETT PACKARD - UK - 2015,"799,884.40","971,259.80","669,014.50","691,909.90","533,427.10","517,513.00","691,505.70","753,193.10","592,481.70","552,015.80", -   , -   
PEPSICO - USA - 2013,"356,826.70","530,325.20","533,929.80","346,066.50","429,545.90","398,617.90","258,268.20","356,871.50","249,743.40","223,564.00","162,065.30","149,693.80"
PEPSICO - USA - 2014,"284,248.00","311,303.20","571,491.80","472,300.10","437,215.40","391,802.00","348,256.50","204,496.40","160,596.70","156,272.60","96,010.80","67,984.10"
PEPSICO - USA - 2015,"290,196.00","353,520.90","439,787.00","306,955.20","281,851.90","326,135.50","239,228.40","277,783.90","138,055.90","78,053.00", -   , -   
PEPSICO - BRAZIL - 2013,"191,512.80","374,086.30","502,404.40","611,860.80","584,760.20","635,741.60","563,147.00","563,361.50","554,305.70","675,823.60","675,480.80","603,224.00"
PEPSICO - BRAZIL - 2014,"794,341.30","860,183.90","742,597.80","741,315.90","752,528.30","774,675.00","726,905.20","736,661.60","774,863.70","675,756.90","783,553.10","778,622.90"
PEPSICO - BRAZIL - 2015,"407,917.90","682,080.50","700,762.70","793,662.80","829,639.10","773,433.80","765,726.00","773,218.10","775,046.60","781,581.60", -   , -   
PEPSICO - CHINA - 2014, -   , -   , -   ,"3,223.40","1,158.20","1,992.10","3,176.90","2,018.70",833.9,833.9,833.9,"1,232.30"
PEPSICO - CHINA - 2015,833.9,"2,020.90","2,345.20","1,659.50","4,342.10","4,205.20","7,771.10","1,669.10","2,141.50","2,994.60", -   , -   
PEPSICO - SPAIN - 2013,"179,957.70","197,698.10","183,452.20","144,364.30","142,252.40","173,823.60","176,571.20","213,811.40","224,671.10","187,525.90","176,853.70","169,104.50"
PEPSICO - SPAIN - 2014,"167,252.70","158,307.50","220,798.60","235,584.90","326,916.50","350,126.50","423,705.90","384,741.10","356,021.30","201,565.10","117,498.90","105,403.50"
PEPSICO - SPAIN - 2015,"106,627.30","129,231.70","130,573.80","110,564.10","85,135.90","67,552.70","81,619.60","105,939.70","121,586.90","104,271.60", -   , -   
PEPSICO - UK - 2013,"-38,759.50","55,001.00","140,809.70","33,876.70","28,689.00","42,226.00","49,913.90","65,944.20","62,895.70","41,043.20","50,120.40","110,931.90"
