id	text
"103"	"@Nordstrom Just ordered 2 items. One shipped FedEx the other OnTrac. Why? OnTrac sucks &amp; I won't ever see it. Just lost a customer."
"104"	"@USPS @USPS  I am furious. Please tell me there is something that can be done to get this today?! My gift is just s… https://t.co/OKUxuGvxjX"
"105"	"WCstamps: $490.00 Face Value - 1,000 USPS Flag Forever Stamps Lot#073 https://t.co/zyue4OCUtY"
"106"	"RT @Brilliant_Ads: DHL teases its rivals... Awesome! https://t.co/GZhlusniXZ"
"107"	"When driving around the Midwest, only ""we're hiring"" signs I see are McDonalds, FedEx or warehouse jobs. #EconomyToday"
"108"	"he doesnt want to feel alone thereso he make a 'friend', made up from a volleyball which is also swept away in a FedEx parcel"
"109"	"Finally got around to hanging these up #batman #tmnt #stamps #mrmauro #nyc #sdcc #usps #postage… https://t.co/BN6hj0P5M0"
"110"	"Why does one analyst believe @USPS is giving @amazon ""a gift card from #UncleSam?"" https://t.co/Bhd7dfCST0."
"112"	"How Amazon, FedEx, and Justin Bieber succeeded by trying things that 'Didn't Work' for their respective industries https://t.co/U0GMedcU8S"
"113"	"RT @FedEx: Here it is! @DennyHamlin’s special #FedEx11 #FedExCares ride for Sunday’s #Brickyard400 at @IMS. https://t.co/8A7coSKPkE"
"114"	"RT @sjh2222: USPS Financially Imploding As New Political Scandal Emerges https://t.co/3NMDg6BXVT These people have Las Vegas Meetings! #Dra…"
"115"	"Stop @FedEx from shipping shark fins 🛑🦈 https://t.co/nMbVunxX04 #SharkWeek #sharkfinning"
"116"	"RT @lifestyle_oc: Stop @FedEx from shipping shark fins 🛑🦈 https://t.co/nMbVunxX04 #SharkWeek #sharkfinning"
"117"	"RT @lifestyle_oc: Stop @FedEx from shipping shark fins 🛑🦈 https://t.co/nMbVunxX04 #SharkWeek #sharkfinning"
"118"	"RT @davidmolnar10: Win a match worn jersey - FC Bayern Audi Summer Tour 2016 https://t.co/uY96dnOJUn"
"119"	"Call it fedex how we Package It"
"120"	"The latest Syndicaliste, le Journal! https://t.co/GguTRVOnhf Thanks to @SgenPicardie @_AlexandreLeroy @marielepretre #syndicat #usps"
"122"	"RT @OhSoKaity: @USPS how do you feel about @LuLaRoe accusing you of dumping all of the checks they mailed first class on 7/5?… "
"124"	"RT @Springboks: The last time @THESTORMERS played @ChiefsRugby at DHL Newlands, we had some magic from the home side. More Today?… "
"125"	"RT @FedEx: .@dennyhamlin will start 5th in the #FedExCares ride. Tune in to @NASCARonNBC for all the #Brickyard400 action, sta… "
"126"	"@Scooterocket @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine… https://t.co/SFXnPbtlc5"
"127"	"#FDX #NYSE #FedEx support extinction and cruelty. Please #BoycottFedEx https://t.co/OLMHA377Bq #OpFunKill"
"128"	"Im not surprised, ever since i started working at FedEx I realized that people are lazy and would buy anything onli… https://t.co/TJYAQ9zsTn"
"129"	"RT @mediacules: #ICC2017 | FedEx Field | FC Barcelona vs Manchester United | Kamis, 27 Juli 2017 | Pkl. 06:30 WIB | LIVE Streaming"
"130"	"RT @swrobb: My wife had a horrible experience with UPS Today they just blamed the UPS Store ( A franchise ). Future FedEx Customer @violett…"
"131"	"@AmazonHelp Seems to be happening to a lot of people on sundays because you use USPS. Get a new carrier for Sundays. 🖕🏻"
"132"	"@CRacioppo89 @TwSpot DJ missed 3 cuts all year so far and Rory has 3 in 4 events. DJ #1 in FedEx Cup.....Rory, 75th LOLOL"
"133"	"RT @OrcaOnIceSkates: #FDX #NYSE #FedEx support extinction and cruelty. Please #BoycottFedEx https://t.co/OLMHA377Bq #OpFunKill"
"134"	"RT @mediacules: #ICC2017 | FedEx Field | FC Barcelona vs Manchester United | Kamis, 27 Juli 2017 | Pkl. 06:30 WIB | LIVE Streaming"
"135"	"RT @PaulBorisVuzix: @VUTHEFUTURE 3 of 3 Perhaps email the journalist and ask the them which DHL exec (authorized to make that claim) pr… "
"136"	"USPS makes me wanna kms"
"137"	"RT @CityMessiah: DHL ROLLOUT UNDERWAY $VUZI Vuzix https://t.co/49TqPsvzEH"
"138"	"@ShouqAlmasoud FedEx me one plz"
"139"	"RT @LouDobbs: USPS workers break election laws to help Corrupt Clinton. No outrage from Dimms! @GreggJarrett Joins #Dobbs FBN7p #MAGA #Trum…"
"140"	"...some truly different USPs. Having said that, always hard to do at a hackathon. As long as teams enjoy themselves / learn, it's fun! 🙂"
"142"	"Using iPhone 6 case on an iPhone 7 cause @USPS didn't deliver my package on time."
"143"	"@POTUS45 @GeneralMattis clonzapam911 via @FedEx SAME DAY THANKS 🙏🏻"
"144"	"@McDonalds @USPS @USPISRunning @NAACP @ACLU @NationalSCLC ...@WhiteHouse @POTUS @VP @DHSgov @FBI-DIR @CIA-DCI… https://t.co/NNeFHzxJrs"
"145"	"RT @Ben1NOT2BFORGOT: @POTUS45 @GeneralMattis clonzapam911 via @FedEx SAME DAY THANKS 🙏🏻"
"146"	"@calexandernso7 @SenDuckworth let me help you ""The OSC determined the USPS ""engaged in systemic violations"" of the Hatch Act""  your welcome"
"147"	"Mail thieves in Central Texas are working harder than usual this summer https://t.co/BkjesKD4J3 #USPS https://t.co/3qmDfhKBIm"
"148"	"My plug he a redneck I get them pounds in shout out FedEx"
"150"	"@MattyFranklyn I'm so confused then because the tracking says it's shipping by USPS"
"151"	"Can someone stop Manjerakar from commenting when India plays. He s like vijay amitraj of tennis when fedex plays"
"152"	"when your amazon package is delivered by the @USPS to a completely different city/county. WHY? HOW? i don't understand."
"153"	"Xmas #GiftCard #Gift Hyatt hotel $500 dollar Gift Card Free (USPS) delivery.. https://t.co/lKxDJjTMxE #GiftCards… https://t.co/KwVG5I130e"
"155"	"when your amazon package is delivered by the @USPS to a completely different city/county. WHY? HOW? i don't understand. @USPSHelp"
"157"	"@Ben1NOT2BFORGOT @potus45 @GeneralMattis @FedEx https://t.co/ep3QSDsIJH"
"158"	"RT @USPSreform: Mail thieves in Central Texas are working harder than usual this summer https://t.co/BkjesKD4J3 #USPS https://t.co/3qmDfhKB…"
"159"	"@Scooterocket @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine… https://t.co/YuVqhgOFo2"
"161"	"when your amazon package is delivered by the @USPS to a completely different city/county. WHY? HOW? i don't underst… https://t.co/3LjBqOQYho"
"162"	"@MREConsulting Can you please send me a photo message or a email message Email us at https://t.co/qYKXw6JmHf"
"163"	"RT @USPSreform: Mail thieves in Central Texas are working harder than usual this summer https://t.co/BkjesKD4J3 #USPS https://t.co/3qmDfhKB…"
"165"	"@cortland   The FedEx Office team hours are Monday-Friday, 7:00 AM-8:30 PM CT, and Saturday, 7:00 AM-6:00 PM CT."
"170"	"With Fedex adress barcode.. how much change worlds."
"171"	"@moi_artiste @HartoshSinghBal congrats..now can we fedex you  2 your paramveer chakras on bravery of FOE"
"172"	"RT @harjo111: @DonnaWR8 @DebAlwaystrump Apparently everyone interfered.  Obama, USPS, UKRAINE, ILLEGALS, DEAD PEOPLE.  yet with a… "
"174"	"@cortland  For immediate assistance, call https://t.co/4ex8dld5IZ (1.800.463.3339)."
"175"	"RT @FedEx: .@dennyhamlin's special #FedEx11 paint scheme makes its debut at @IMS today for the #Brickyard400! Follow… "
"177"	"RT @FedEx: ICYMI: We had 75 team members help us unveil @DennyHamlin’s special #FedEx Cares paint scheme on Friday. https://t.co/syFff2jUJu"
"178"	"Y'all are so unreliable  @USPS"
"179"	"RT @FedEx: The #FedEx11 car’s design was the inspiration of 22-year #FedEx team member Rachee, an active #FedExCares supporter… "
"180"	"RT @FedEx: .@dennyhamlin will start 5th in the #FedExCares ride. Tune in to @NASCARonNBC for all the #Brickyard400 action, sta… "
"181"	"@AmazonHelp Already cancelled.  Your drivers claim packages undeliverable when UPS, USPS do just fine."
"182"	"I have the worst luck with @USPS @FedEx and @UPS in this city! ""An attempt was made..."" yeah right! You drove by and it looked empty! 🖕🏼"
"183"	"There needs to be a browser plugin that lets you know before you buy if your item is going to be shipped by USPS. So you can just not."
"184"	"DHL 757 inbound LHR with winglets, first one i believe to have come in."
"185"	"@AmazonHelp On Amazon, it says the package was delivered on July 11, but it wasn't. When you track the package on USPS, it says in transit."
"186"	"@USPS I received an electronic notification that an USPS staff left a notice due unsecured location. I did not received it on my door"
"188"	"@ChaplinJamie A man whose won 2 majors and FedEx cup ...only human 😣😥"
"190"	"@USPS Another package was suppose to arrived Thursday but it has been in limbo for 2 days at the post office."
"191"	"Fedex Team Driver Class A (Fort Worth/Dallas) https://t.co/Ua1xQjdAoG #Dallas #Jobs"
"192"	"The FedEx place would be in the plaza. I can't resist a good sale😅😅"
"195"	"@Scooterocket @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine… https://t.co/TtIGDPi0KG"
"196"	"UPS at it again! This time they really got clever 😎 #postal #usps #ups #funny postal_plus… https://t.co/bBr2o3f6Go"
"197"	"RT @ToyotaRacing: Tuning up the power 💪. https://t.co/WrAJAAIOUM"
"198"	"@FedEx @FedExHelp why do you all have authorized shippers and then not talk to them about your fuck up?!? Seriously? Send the damn pkg!"
"199"	"RT @mininiii: Someone just walked into DHL to also for the nearest FedEx office. I wonder what he was thinking."
"200"	"Adinuku Dhl N Pblmku Tam In Androany Iny A..."
"202"	"RT @SixBrownChicks: Knock HARD UPS and FedEx!Selima needs her wigs dammit! 😂😂😂 https://t.co/Rvsuuwcl61"
"203"	"@Scooterocket @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine… https://t.co/eQu8sm7gDY"
"204"	"FedEx fucked up my shipping number on my package so now idk what to do ):"
"205"	"When you forget what you learned in elementary english. https://t.co/BiRG2J5pMh"
"206"	"@Scooterocket @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine… https://t.co/Zbqnr71Add"
"209"	"What a disappointment. @usps is  delivering my pkgs to an address where no one's there til October to tell them it's the wrong address."
"210"	"Current status: watching a USPS employee throw boxes one by one out of his delivery van onto the street"
"211"	"RT @Lrihendry: Hillary and campaign colluded with USPS to help with her election which is unlawful but Trump administration being investiga…"
"212"	"@FoxNews @KatrinaPierson Interesting how USPS &amp; CNN obstructed our election &amp; no outrage. U expect our enemies but our own country"
